datetime,address,_LATITUDE_,_LONGITUDE_,resolvedAddress,mint,maxt,temp,precip,precipcover,snowdepth,wspd,wgust,wdir,visibility,sealevelpressure,weathertype
01/01/2019 00:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",46,46,46,0.5,100,,10,,191,0.5,1009.8,"Mist, Fog, Light Rain"
01/01/2019 01:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",49.8,49.8,49.8,,,,10.9,,194,0.8,1008.3,"Mist"
01/01/2019 02:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",54.6,54.6,54.6,,,,12.5,,200,9.7,1007.9,""
01/01/2019 03:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",56.4,56.4,56.4,,,,14.9,,191,10,1007.1,""
01/01/2019 04:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",57,57,57,,,,11.7,,214,9.5,1007.3,"Mist"
01/01/2019 05:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",56.2,56.2,56.2,,,,9.2,,212,9.2,1007.2,"Mist"
01/01/2019 06:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",56.3,56.3,56.3,,,,9.7,,210,10,1008,""
01/01/2019 07:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",59.1,59.1,59.1,0.6,100,,9.6,,222,10,1009.4,""
01/01/2019 08:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",60.3,60.3,60.3,,,,8.1,,280,10,1010.5,""
01/01/2019 09:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",60.8,60.8,60.8,,,,14.4,,281,10,1012.5,""
01/01/2019 10:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",59.2,59.2,59.2,,,,16.9,,302,10,1013.3,""
01/01/2019 11:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",57.5,57.5,57.5,,,,17.7,,321,10,1014.3,""
01/01/2019 12:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",56.7,56.7,56.7,,,,22.8,34.4,319,10,1014.5,""
01/01/2019 13:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",56.6,56.6,56.6,,,,19,36.3,310,10,1015.8,""
01/01/2019 14:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",54.8,54.8,54.8,,,,16.5,35.3,330,10,1016.5,""
01/01/2019 15:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",52.7,52.7,52.7,,,,17.3,,339,10,1018,""
01/01/2019 16:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",51.2,51.2,51.2,,,,13.1,,332,10,1019.3,""
01/01/2019 17:00:00,"Herndon,VA",38.96972,-77.38519,"Herndon,VA",50,50,50,,,,12.1,,332,10,1019.9,""